# CaseFolding-5.2.0.txt
# Date: 2009-05-28, 23:02:34 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# ================================================================================
# This file has been reformatted into syntax for the gennorm2 Normalizer2 data
# generator tool.
# C and F mappings are marked as one-way mappings with '>' while
# S and T mappings are commented out.
# ================================================================================
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to the full mapping below, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# The data supports both implementations that require simple case foldings
# (where string lengths don't change), and implementations that allow full case folding
# (where string lengths may grow). Note that where they can be supported, the
# full case foldings are superior: for example, they allow "MASSE" and "Maße" to match.
#
# All code points not listed in this file map to themselves.
#
# NOTE: case folding does not preserve normalization formats!
#
# For information on case folding, including how to have case folding 
# preserve normalization formats, see Section 3.13 Default Case Algorithms in
# The Unicode Standard, Version 5.0.
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status field is:
# C: common case folding, common mappings shared by both simple and full mappings.
# F: full case folding, mappings that cause strings to grow in length. Multiple characters are separated by spaces.
# S: simple case folding, mappings to single characters where different from F.
# T: special case for uppercase I and dotted uppercase I
#    - For non-Turkic languages, this mapping is normally not used.
#    - For Turkic languages (tr, az), this mapping can be used instead of the normal mapping for these characters.
#      Note that the Turkic mappings do not maintain canonical equivalence without additional processing.
#      See the discussions of case mapping in the Unicode Standard for more information.
#
# Usage:
#  A. To do a simple case folding, use the mappings with status C + S.
#  B. To do a full case folding, use the mappings with status C + F.
#
#    The mappings with status T can be used or omitted depending on the desired case-folding
#    behavior. (The default option is to exclude them.)
#
# =================================================================
0214>0215; # LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0216>0217; # LATIN CAPITAL LETTER U WITH INVERTED BREVE
0218>0219; # LATIN CAPITAL LETTER S WITH COMMA BELOW
021A>021B; # LATIN CAPITAL LETTER T WITH COMMA BELOW
021C>021D; # LATIN CAPITAL LETTER YOGH
021E>021F; # LATIN CAPITAL LETTER H WITH CARON
0220>019E; # LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
0222>0223; # LATIN CAPITAL LETTER OU
0224>0225; # LATIN CAPITAL LETTER Z WITH HOOK
0226>0227; # LATIN CAPITAL LETTER A WITH DOT ABOVE
0228>0229; # LATIN CAPITAL LETTER E WITH CEDILLA
022A>022B; # LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
022C>022D; # LATIN CAPITAL LETTER O WITH TILDE AND MACRON
022E>022F; # LATIN CAPITAL LETTER O WITH DOT ABOVE
0230>0231; # LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
0232>0233; # LATIN CAPITAL LETTER Y WITH MACRON
023A>2C65; # LATIN CAPITAL LETTER A WITH STROKE
023B>023C; # LATIN CAPITAL LETTER C WITH STROKE
023D>019A; # LATIN CAPITAL LETTER L WITH BAR
023E>2C66; # LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
0241>0242; # LATIN CAPITAL LETTER GLOTTAL STOP
0243>0180; # LATIN CAPITAL LETTER B WITH STROKE
0244>0289; # LATIN CAPITAL LETTER U BAR
0245>028C; # LATIN CAPITAL LETTER TURNED V
0246>0247; # LATIN CAPITAL LETTER E WITH STROKE
0248>0249; # LATIN CAPITAL LETTER J WITH STROKE
024A>024B; # LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
024C>024D; # LATIN CAPITAL LETTER R WITH STROKE
024E>024F; # LATIN CAPITAL LETTER Y WITH STROKE
0345>03B9; # COMBINING GREEK YPOGEGRAMMENI
0370>0371; # GREEK CAPITAL LETTER HETA
0372>0373; # GREEK CAPITAL LETTER ARCHAIC SAMPI
0376>0377; # GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
0386>03AC; # GREEK CAPITAL LETTER ALPHA WITH TONOS
0388>03AD; # GREEK CAPITAL LETTER EPSILON WITH TONOS
0389>03AE; # GREEK CAPITAL LETTER ETA WITH TONOS
038A>03AF; # GREEK CAPITAL LETTER IOTA WITH TONOS
038C>03CC; # GREEK CAPITAL LETTER OMICRON WITH TONOS
038E>03CD; # GREEK CAPITAL LETTER UPSILON WITH TONOS
038F>03CE; # GREEK CAPITAL LETTER OMEGA WITH TONOS
0390>03B9 0308 0301; # GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391>03B1; # GREEK CAPITAL LETTER ALPHA
0392>03B2; # GREEK CAPITAL LETTER BETA
0393>03B3; # GREEK CAPITAL LETTER GAMMA
0394>03B4; # GREEK CAPITAL LETTER DELTA
0395>03B5; # GREEK CAPITAL LETTER EPSILON
0396>03B6; # GREEK CAPITAL LETTER ZETA
0397>03B7; # GREEK CAPITAL LETTER ETA
0398>03B8; # GREEK CAPITAL LETTER THETA
0399>03B9; # GREEK CAPITAL LETTER IOTA
039A>03BA; # GREEK CAPITAL LETTER KAPPA
039B>03BB; # GREEK CAPITAL LETTER LAMDA
039C>03BC; # GREEK CAPITAL LETTER MU
039D>03BD; # GREEK CAPITAL LETTER NU
039E>03BE; # GREEK CAPITAL LETTER XI
039F>03BF; # GREEK CAPITAL LETTER OMICRON
03A0>03C0; # GREEK CAPITAL LETTER PI
03A1>03C1; # GREEK CAPITAL LETTER RHO
03A3>03C3; # GREEK CAPITAL LETTER SIGMA
03A4>03C4; # GREEK CAPITAL LETTER TAU
03A5>03C5; # GREEK CAPITAL LETTER UPSILON
